iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all Companies","GET","https://api.brevo.com/v3/companies","OK","200","481","19947","Status code is 200, Body matches string",,,"2","2","0","0"
"1","Sendinblue","Create a company","POST","https://api.brevo.com/v3/companies","OK","200","180","34","Response status code is 200, Response has the required fields - id, Id is a non-empty string, Content-Type header is application/json, Successful POST request","Response time is within an acceptable range",,"6","5","1","0"
"1","Sendinblue","Get company attributes","GET","https://api.brevo.com/v3/companies/attributes","OK","200","232","1719","Body matches string, Response status code is 200","Successful GET request",,"3","2","1","0"
"1","Sendinblue","Link and Unlink company with contact and deal","PATCH","https://api.brevo.com/v3/companies/link-unlink/6634334e0d80fe94af271216","No Content","204","325","0"," Testing if body empty",,,"1","1","0","0"
"1","Sendinblue","Get a company","GET","https://api.brevo.com/v3/companies/6634334e0d80fe94af271216","OK","200","174","452","Status code is 200, Verify the 'attributes' object contains the required fields",,,"2","2","0","0"
"1","Sendinblue","Update a company","PATCH","https://api.brevo.com/v3/companies/663819130bcdc1b71cddc399","Bad Request","400","194","49",,"Successful POST request",,"1","0","1","0"
"1","Sendinblue","Delete a company","DELETE","https://api.brevo.com/v3/companies/66329b59a3602a4b397a2346","Not Found","404","120","37","Response time is less than 500ms, Response does not contain sensitive information","Response status code is 200, Successful deletion response schema, Response body is empty after successful deletion",,"5","2","3","0"
"1","Sendinblue","Get pipeline stages","GET","https://api.brevo.com/v3/crm/pipeline/details","OK","200","139","542","Response status code is 200, Response has the required fields, Validate the stages array schema, Response time is less than 200ms",,,"4","4","0","0"
"1","Sendinblue","Get all deals","GET","https://api.brevo.com/v3/crm/deals?filter[attributes]=veniam elit in&filter[linkedCompaniesIds]=veniam elit in&filter[linkedContactsIds]=veniam elit in&offset=13396752&limit=13396752&sort=desc","OK","200","191","121",,,,"0","0","0","0"
"1","Sendinblue","Create a deal","POST","https://api.brevo.com/v3/crm/deals","Bad Request","400","241","43",,"Status code name has string",,"1","0","1","0"
