"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 12:23:58 BST 2024","Wed May 08 12:23:58 BST 2024","148","Account","Process","","","","Return the informations for a process",""
"passed","Wed May 08 12:23:47 BST 2024","Wed May 08 12:23:47 BST 2024","106","Contact management","Contacts","","","","Get all the contacts",""
"passed","Wed May 08 12:23:48 BST 2024","Wed May 08 12:23:48 BST 2024","87","Contact management","Contacts","","","","Update a contact",""
"passed","Wed May 08 12:23:53 BST 2024","Wed May 08 12:23:54 BST 2024","92","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"passed","Wed May 08 12:23:56 BST 2024","Wed May 08 12:23:56 BST 2024","130","Account","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"passed","Wed May 08 12:23:59 BST 2024","Wed May 08 12:24:00 BST 2024","213","Account","Senders","","","","Get the list of all your senders",""
"passed","Wed May 08 12:23:41 BST 2024","Wed May 08 12:23:41 BST 2024","202","Marketing","Email Campaigns","","","","Send the report of a campaign","A PDF will be sent to the specified email addresses"
"passed","Wed May 08 12:23:48 BST 2024","Wed May 08 12:23:49 BST 2024","166","Contact management","Folders","","","","Update a folder",""
"passed","Wed May 08 12:23:55 BST 2024","Wed May 08 12:23:55 BST 2024","76","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"passed","Wed May 08 12:23:41 BST 2024","Wed May 08 12:23:42 BST 2024","630","Marketing","Email Campaigns","","","","Get an A/B test email campaign results","Obtain winning version of an A/B test email campaign"
"passed","Wed May 08 12:22:00 BST 2024","Wed May 08 12:22:00 BST 2024","200","Sales CRM","Files","","","","Delete a file",""
"passed","Wed May 08 12:23:55 BST 2024","Wed May 08 12:23:55 BST 2024","124","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"passed","Wed May 08 12:23:43 BST 2024","Wed May 08 12:23:43 BST 2024","118","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
"passed","Wed May 08 12:23:55 BST 2024","Wed May 08 12:23:55 BST 2024","113","Transactional","SMS statistics","","","","Get your SMS activity aggregated over a period of time",""
"passed","Wed May 08 12:23:47 BST 2024","Wed May 08 12:23:47 BST 2024","96","Contact management","Contacts","","","","Create a contact",""
"passed","Wed May 08 12:23:52 BST 2024","Wed May 08 12:23:52 BST 2024","103","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId","Fetch scheduled batch of emails by batchId or single scheduled email by messageId (Can retrieve data upto 30 days old)"
"passed","Wed May 08 12:23:59 BST 2024","Wed May 08 12:23:59 BST 2024","123","Account","Corporate","","","","Create a new sub-account under a master account.","This endpoint will create a new sub-account under a master account"
"passed","Wed May 08 12:23:59 BST 2024","Wed May 08 12:23:59 BST 2024","245","Account","Account data","","","","Get your account information, plan and credits details",""
"passed","Wed May 08 12:23:51 BST 2024","Wed May 08 12:23:51 BST 2024","113","Transactional","Email API","","","","Send a transactional email",""
"passed","Wed May 08 12:23:48 BST 2024","Wed May 08 12:23:48 BST 2024","89","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Wed May 08 12:23:46 BST 2024","Wed May 08 12:23:46 BST 2024","184","Conversations","Pushed messages","","","","Send an automated message to a visitor","Example of automated messages: order status, announce new features in your web app, etc."
"failed","Wed May 08 12:21:54 BST 2024","Wed May 08 12:21:54 BST 2024","189","Sales CRM","Companies","","","","Delete a company",""
"passed","Wed May 08 12:23:47 BST 2024","Wed May 08 12:23:47 BST 2024","101","Contact management","Contacts","","","","Update multiple contacts",""
"passed","Wed May 08 12:23:47 BST 2024","Wed May 08 12:23:47 BST 2024","106","Contact management","Contacts","","","","Export contacts","It returns the background process ID which on completion calls the notify URL that you have set in the input. File will be available in csv."
"passed","Wed May 08 12:23:47 BST 2024","Wed May 08 12:23:47 BST 2024","84","Contact management","Contacts","","","","Create Contact via DOI (Double-Opt-In) Flow",""
"passed","Wed May 08 12:21:56 BST 2024","Wed May 08 12:21:56 BST 2024","144","Sales CRM","Deals","","","","Get a deal",""
"passed","Wed May 08 12:23:48 BST 2024","Wed May 08 12:23:48 BST 2024","80","Contact management","Contacts","","","","Delete a contact",""
"passed","Wed May 08 12:23:49 BST 2024","Wed May 08 12:23:49 BST 2024","85","Contact management","Lists","","","","Create a list",""
"passed","Wed May 08 12:23:48 BST 2024","Wed May 08 12:23:48 BST 2024","244","Contact management","Folders","","","","Create a folder",""
